sample_date,facility,target,n.bio,n.bio.non.miss,n.bio.miss,n.total,n.total.miss,bio.ct.mean,bio.ct.sd,tech.ct.dists
2020-12-02,C,N2,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-07,A,N1,3,3,0,9,5,35.255996705,0.5974365841482081,"A = 34.57 (sd=NA, n=1); B = 35.6 (sd=0.03, n=2); C = 35.6 (sd=NA, n=1)"
2020-12-07,A,N2,3,3,0,9,6,36.526737213333334,0.6838788415903156,"A = 37.05 (sd=NA, n=1); B = 36.78 (sd=NA, n=1); C = 35.75 (sd=NA, n=1)"
2020-12-07,B,N1,3,2,1,9,5,36.3560419075,0.21597393995251463,"A = 36.2 (sd=0.77, n=2); B = NA (sd=NA, n=0); C = 36.51 (sd=0.81, n=2)"
2020-12-07,B,N2,3,2,1,9,6,35.371681214999995,0.1482975666334844,"A = 35.48 (sd=NA, n=1); B = 35.27 (sd=0.65, n=2); C = NA (sd=NA, n=0)"
2020-12-07,C,N1,3,1,2,9,8,35.75260925,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 35.75 (sd=NA, n=1)"
2020-12-07,C,N2,3,1,2,9,8,36.08492279,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 36.08 (sd=NA, n=1)"
2020-12-09,A,N1,3,0,3,9,9,NA,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-09,A,N2,3,1,2,9,8,35.80426407,NA,"A = NA (sd=NA, n=0); B = 35.8 (sd=NA, n=1); C = NA (sd=NA, n=0)"
2020-12-09,B,N1,3,3,0,9,5,35.838980355000004,1.1758574023455521,"A = 35.74 (sd=0.01, n=2); B = 37.06 (sd=NA, n=1); C = 34.72 (sd=NA, n=1)"
2020-12-09,B,N2,3,3,0,9,3,35.71947861,0.8262449150228017,"A = 35.55 (sd=0.18, n=2); B = 34.99 (sd=0.11, n=2); C = 36.62 (sd=0.64, n=2)"
2020-12-09,C,N1,3,1,2,9,8,35.99475861,NA,"A = NA (sd=NA, n=0); B = NA (sd=NA, n=0); C = 35.99 (sd=NA, n=1)"
2020-12-09,C,N2,3,1,2,9,8,35.77574921,NA,"A = 35.78 (sd=NA, n=1); B = NA (sd=NA, n=0); C = NA (sd=NA, n=0)"
2020-12-14,A,N1,3,3,0,9,6,35.68520736666667,0.05574582310532816,"A = 35.72 (sd=NA, n=1); B = 35.71 (sd=NA, n=1); C = 35.62 (sd=NA, n=1)"
2020-12-14,A,N2,3,2,1,9,7,36.44205475,0.7423995412957402,"A = NA (sd=NA, n=0); B = 36.97 (sd=NA, n=1); C = 35.92 (sd=NA, n=1)"
