Parameter1,Parameter2,rho,CI,CI_low,CI_high,S,p,Method,n_Obs
copies_A,p.pos.tr_B_N2,0.5496900808727527,0.95,0.37336569498208966,0.687682635765335,42907.33033412063,4.7715140529757744e-4,Spearman correlation,83
copies_A,p.pos.tr_B_Total,0.5147680710066774,0.95,0.3331388675814261,0.6595607689910142,49658.63561317663,0.0028511180859844176,Spearman correlation,85
copies_A,p.pos.tr_C_N1,0.3378821052617833,0.95,0.12680168913094858,0.5196875288378555,65397.38446329366,1,Spearman correlation,84
copies_A,p.pos.tr_C_N2,0.4212283441714133,0.95,0.218568390197853,0.5890542858737511,53178.11850918637,0.4154682153877536,Spearman correlation,82
copies_A,p.pos.tr_C_Total,0.427951917372252,0.95,0.22903886665405357,0.5925576291486708,56501.18912114267,0.2550264066441356,Spearman correlation,84
copies_A,p.pos.br_N1,0.570819959173673,0.95,0.40188732873397515,0.7021753641594786,43922.2853781663,7.968778083873717e-5,Spearman correlation,85
copies_A,p.pos.br_N2,0.7158023928198032,0.95,0.5871951531059385,0.8091602362426291,27079.484802557872,2.318524865088383e-10,Spearman correlation,83
copies_A,n.br_N1,-0.32671692256760027,0.95,-0.5094516241398034,-0.11578629733413198,135776.20985556822,1,Spearman correlation,85
copies_A,n.br_N2,-0.3318724611010664,0.95,-0.5157556028055663,-0.11875912197615829,126906.135583554,1,Spearman correlation,83
copies_A,p.pos.br_Total,0.6525042743085075,0.95,0.5056044506881057,0.7626370248565034,35562.712567267336,1.0105097319736654e-7,Spearman correlation,85
copies_A,n.br_Total,-0.2471246069548217,0.95,-0.4423820211888443,-0.029499018990653724,127630.73227575644,1,Spearman correlation,85
copies_A,p.pos.br_A_N1,0.6118802981092551,0.95,0.4534866854401215,0.7328063429581696,39720.17029149883,3.5672120891730828e-6,Spearman correlation,85
copies_A,p.pos.br_A_N2,0.7098226330413787,0.95,0.579173076995072,0.8049214702592974,27649.26023328527,4.680805194754532e-10,Spearman correlation,83
copies_A,p.pos.br_B_N1,0.42065748791706065,0.95,0.221896661498932,0.5858547885004732,59289.912686568015,0.31549058393640134,Spearman correlation,85
copies_A,p.pos.br_B_N2,0.5399780678452053,0.95,0.361417870861748,0.6803328504127477,43832.729783437455,8.77568673727644e-4,Spearman correlation,83
copies_A,p.pos.br_C_N1,0.32139061014254733,0.95,0.10855584535895403,0.5060524563670331,67026.2494362206,1,Spearman correlation,84
copies_A,p.pos.br_C_N2,0.4483806189598021,0.95,0.25021236469532065,0.6104910401364012,50683.340349354425,0.12903453352408545,Spearman correlation,82
copies_A,n.br_A_N1,-0.35267147374165686,0.95,-0.5308528565824541,-0.14462964899118178,138432.39862272117,1,Spearman correlation,85
copies_A,n.br_A_N2,-0.3717638268848118,0.95,-0.5483907333701682,-0.1633819555146701,130707.1444808924,1,Spearman correlation,83
copies_A,n.br_B_N1,-0.3511740919246899,0.95,-0.5296243136029296,-0.14295593910532767,138279.15656757276,1,Spearman correlation,85
copies_A,n.br_B_N2,-0.3717638268848118,0.95,-0.5483907333701682,-0.1633819555146701,130707.1444808924,1,Spearman correlation,83
