"","wrf","collection_num","cq_sample","sd_sample","cq_control","sd_control","date","cq_change"
"42","C",77,17.4928992125415,2.0137859161789,16.7036753349229,2.10334485853552,2021-05-10,0.789223877618586
"43","C",78,18.9655558301414,0.149974411135707,19.2438286469931,0.0116466387157512,2021-05-12,-0.278272816851661
"44","C",79,16.8163838904903,1.8933210316431,14.5599930952628,0.822147967424092,2021-05-17,2.25639079522754
"45","C",80,18.4898037861569,0.174877200019647,18.3446276531567,0.0460146195256533,2021-05-19,0.14517613300027
"46","C",87,19.575731429276,0.138348965206145,18.8107986383607,0.134660367607424,2021-06-14,0.764932790915321
"47","C",88,19.0913298610221,0.136596010357607,18.8678237813156,0.110898523698087,2021-06-16,0.223506079706485
"48","C",89,18.9024449768736,0.109160973134746,18.8735331909288,0.148806339289245,2021-06-21,0.0289117859447536
"49","C",90,20.1337767739656,0.243418642210238,16.87289238,0,2021-06-23,3.26088439396556
"50","C",91,18.6573555374501,0.155154165681545,16.546905214148,3.25796891282648,2021-06-28,2.11045032330205
"51","B",10,15.6158313576896,0.0872847206282429,16.4553688856531,0.0490699924041814,2020-07-21,-0.83953752796352
"52","B",14,17.8224392670055,0.0458432894962196,17.7664060772383,0.0563051699714358,2020-08-18,0.0560331897672945
"53","B",16,18.9609975581865,0.0265755840174838,19.9652724459916,0.0134046124975497,2020-09-01,-1.00427488780518
"54","B",17,18.3896408737241,0.235839409977045,18.8718992078491,0.0971973002762747,2020-09-08,-0.482258334124964
"55","B",18,19.9055125981576,0.97252188793358,17.5451996777042,1.15877663805825,2020-09-15,2.36031292045336
"56","B",19,22.8686015282142,0.257901952346441,18.9856405189342,0.289453777519367,2020-09-22,3.88296100928002
"57","B",20,18.8180221065057,0.765331729886979,17.6747243240944,0.140061908792057,2020-09-29,1.1432977824113
"58","B",21,18.8193120506036,0.0991903579464903,17.3239003325365,0.037622653421365,2020-10-06,1.49541171806706
